stock,target_corr,realized_return_corr,realized_alpha_corr,alpha_level,lookahead_bins,x,y,n_obs
AAL,0.1,0.06967022440926314,-0.0011239297794507549,1.0,1,0.010000000000000002,0.0017893529198829794,44460
AAPL,0.1,0.0773782592600631,0.005576729635928098,1.0,1,0.010000000000000002,0.004530833667716951,44460
ABBV,0.1,0.060370533856682077,0.00035233095805501687,1.0,1,0.010000000000000002,0.003110671406559889,44460
ABT,0.1,0.06856876317578924,-0.0017357890755670372,1.0,1,0.010000000000000002,0.0020406962298470882,44460
ADBE,0.1,0.0702039089328558,0.00509396024030276,1.0,1,0.010000000000000002,0.008010812643705125,44460
ADI,0.1,0.0971005007182999,0.004685524665330803,1.0,1,0.010000000000000002,0.0028824620407735062,44460
ADM,0.1,0.10680247722544217,0.003001981608956863,1.0,1,0.010000000000000002,0.0010558825825706462,44460
ADP,0.1,0.07587061870387667,0.007073584197437621,1.0,1,0.010000000000000002,0.0034440878380061156,44460
AEP,0.1,0.07071029705829765,0.006399289097001728,1.0,1,0.010000000000000002,0.001993096723785972,44460
AES,0.1,0.0981990990069625,0.0019443350387330644,1.0,1,0.010000000000000002,0.0004678571330488734,44460
AFL,0.1,0.09177247753701698,-0.0018310209549936135,1.0,1,0.010000000000000002,0.0010978500586160303,44460
AIG,0.1,0.09256624108347337,0.00613836262317446,1.0,1,0.010000000000000002,0.0013404821972578902,44460
ALGN,0.1,0.08367002586902077,0.003773865291111855,1.0,1,0.010000000000000002,0.012170725669685483,44460
ALXN,0.1,0.07621903033661714,-0.0006133506647486792,1.0,1,0.010000000000000002,0.004964090049172135,44460
AMAT,0.1,0.10600006127192285,0.005012792851847548,1.0,1,0.010000000000000002,0.0015836059258053858,44460
AMD,0.1,0.07655307113648536,0.005214722555353243,1.0,1,0.010000000000000002,0.0014417735558904916,44460
AMGN,0.1,0.06989842715861737,0.006577242178985605,1.0,1,0.010000000000000002,0.005451795379090377,44460
AMZN,0.1,0.06185573861894073,-0.0003556627860289846,1.0,1,0.010000000000000002,0.055147689025253244,44460
APA,0.1,0.08373027841917301,0.003038036833849246,1.0,1,0.010000000000000002,0.001465901744822449,44460
APC,0.1,0.08915696879101931,0.005847896578505331,1.0,1,0.010000000000000002,0.001837490725640901,44460
