stock,target_corr,lookahead_bins,var_forward_return,mean_inv_price_sq,x,y,n_obs
AAL,0.1,1,2.950766170942893e-07,0.000912384666209728,0.010000000000000002,0.0017893529198829794,49140
AAPL,0.1,1,8.792249889137818e-08,4.2401281202445053e-05,0.010000000000000002,0.004530833667716951,49140
ABBV,0.1,1,1.339609052317739e-07,0.00013705819052866415,0.010000000000000002,0.003110671406559889,49140
ABT,0.1,1,8.676500394416962e-08,0.00020626382217991263,0.010000000000000002,0.0020406962298470887,49140
ADBE,0.1,1,1.153345003499234e-07,1.7792676551726922e-05,0.010000000000000002,0.008010812643705126,49140
ADI,0.1,1,1.0532307819858424e-07,0.00012549647995461555,0.010000000000000002,0.0028824620407735062,49140
ADM,0.1,1,6.062324094978977e-08,0.0005383231950071161,0.010000000000000002,0.0010558825825706462,49140
ADP,0.1,1,6.785973009862317e-08,5.66368230382888e-05,0.010000000000000002,0.003444087838006115,49140
AEP,0.1,1,7.107511932527546e-08,0.0001771315983683936,0.010000000000000002,0.0019930967237859723,49140
AES,0.1,1,9.409532185926681e-08,0.004255755962732494,0.010000000000000002,0.00046785713304887353,49140
AFL,0.1,1,5.641674685454908e-08,0.00046340122308416573,0.010000000000000002,0.00109785005861603,49140
AIG,0.1,1,1.0360056463255846e-07,0.000570788501694673,0.010000000000000002,0.0013404821972578902,49140
ALGN,0.1,1,3.50827445314705e-07,2.3447460270541276e-05,0.010000000000000002,0.012170725669685484,49140
ALXN,0.1,1,1.9964827215558793e-07,8.020869464255146e-05,0.010000000000000002,0.004964090049172137,49140
AMAT,0.1,1,2.054290874464102e-07,0.0008109664639808533,0.010000000000000002,0.001583605925805386,49140
AMD,0.1,1,5.162435377391956e-07,0.002458644350703639,0.010000000000000002,0.0014417735558904916,49140
AMGN,0.1,1,7.773884054135548e-08,2.5893702808071483e-05,0.010000000000000002,0.005451795379090377,49140
AMZN,0.1,1,1.1474978997080822e-07,3.735359949608852e-07,0.010000000000000002,0.05514768902525324,49140
APA,0.1,1,2.3110566353550098e-07,0.0010647215875295426,0.010000000000000002,0.001465901744822449,49140
APC,0.1,1,1.5536051274708223e-07,0.0004555389631843821,0.010000000000000002,0.001837490725640901,49140
